OTU_ID	Bre_1_S21_WoL_subset	Bre_2_S22_WoL_subset	Bur_1_S31_WoL_subset	Bur_2_S32_WoL_subset	Bur_Fru_1_S9_WoL_subset	Bur_Fru_2_S10_WoL_subset	Bur_Rib_1_S11_WoL_subset	Bur_Rib_2_S12_WoL_subset	Bur_Tre_1_S5_WoL_subset	Bur_Tre_2_S6_WoL_subset	Chi_1_S27_WoL_subset	Chi_2_S28_WoL_subset	Chi_Glu_1_S17_WoL_subset	Chi_Glu_2_S18_WoL_subset	Chi_Thio_1_S33_WoL_subset	Chi_Thio_2_S34_WoL_subset	Fru_1_S47_WoL_subset	Fru_2_S48_WoL_subset	Fru_SynCom_1_S59_WoL_subset	Fru_SynCom_2_S60_WoL_subset	Glu_1_S45_WoL_subset	Glu_2_S46_WoL_subset	Glu_SynCom_1_S55_WoL_subset	Glu_SynCom_2_S56_WoL_subset	Lys_1_S23_WoL_subset	Lys_2_S24_WoL_subset	Mal_1_S37_WoL_subset	Mal_2_S38_WoL_subset	Mal_SynCom_1_S53_WoL_subset	Mal_SynCom_2_S54_WoL_subset	Pae_1_S29_WoL_subset	Pae_2_S30_WoL_subset	Pae_Put_1_S1_WoL_subset	Pae_Put_2_S2_WoL_subset	Pae_Rib_1_S13_WoL_subset	Pae_Rib_2_S14_WoL_subset	Pae_Tre_1_S7_WoL_subset	Pae_Tre_2_S8_WoL_subset	Put_SynCom_1_S57_WoL_subset	Put_SynCom_2_S58_WoL_subset	Putr_1_S41_WoL_subset	Putr_2_S42_WoL_subset	Rhi_1_S25_WoL_subset	Rhi_2_S26_WoL_subset	Rhi_Glu_1_S15_WoL_subset	Rhi_Glu_2_S16_WoL_subset	Rho_1_S19_WoL_subset	Rho_2_S20_WoL_subset	Rho_Put_1_S3_WoL_subset	Rho_Put_2_S4_WoL_subset	Rib_1_S35_WoL_subset	Rib_2_S36_WoL_subset	Rib_Neg_S83_WoL_subset	Rib_SynCom_1_S61_WoL_subset	Rib_SynCom_2_S62_WoL_subset	ST_1_S39_WoL_subset	ST_2_S40_WoL_subset	ST_SynCom_1_S51_WoL_subset	ST_SynCom_2_S52_WoL_subset	Soil_1_S65_WoL_subset	Soil_2_S66_WoL_subset	Soil_3_S67_WoL_subset	Soil_Exudate_1_S68_WoL_subset	Soil_Exudate_2_S69_WoL_subset	Soil_Exudate_3_S70_WoL_subset	Soil_LB_1_S74_WoL_subset	Soil_LB_2_S75_WoL_subset	Soil_LB_3_S76_WoL_subset	Soil_SynCom_1_S49_WoL_subset	Soil_SynCom_2_S50_WoL_subset	Soil_SynCom_Exudate_1_S71_WoL_subset	Soil_SynCom_Exudate_2_S72_WoL_subset	Soil_SynCom_Exudate_3_S73_WoL_subset	Soil_SynCom_LB_1_S77_WoL_subset	Soil_SynCom_LB_2_S78_WoL_subset	Soil_SynCom_LB_3_S79_WoL_subset	Soil_Water_1_S80_WoL_subset	Soil_Water_2_S81_WoL_subset	Soil_Water_3_S82_WoL_subset	Tre_1_S43_WoL_subset	Tre_2_S44_WoL_subset	Tre_Neg_S84_WoL_subset	Tre_SynCom_1_S63_WoL_subset	Tre_SynCom_2_S64_WoL_subset
G000007565	27412.0	20381.0	21369.0	16656.0	14164.0	12596.0	2169.0	1728.0	7729.0	4867.0	18727.0	13717.0	51558.0	58592.0	28841.0	27229.0	9542.0	11762.0	33094.0	45796.0	43947.0	109697.0	158582.0	45598.0	26012.0	32882.0	1762.0	2809.0	10577.0	32081.0	29247.0	20659.0	127849.0	93161.0	5995.0	6814.0	7675.0	6498.0	1685296.0	715032.0	554834.0	942772.0	13971.0	19555.0	29402.0	34786.0	13745.0	15161.0	65181.0	46980.0	10381.0	4922.0	1994.0	7104.0	22813.0	44030.0	44921.0	109812.0	53985.0	22963.0	8026.0	15434.0	3403.0	4226.0	6607.0	1216548.0	1547440.0	964058.0	34622.0	29799.0	15033.0	23926.0	8670.0	863145.0	2214443.0	1305714.0	1624.0	1775.0	2316.0	12933.0	12586.0	1150.0	27603.0	24612.0
G000007825	921.0	466.0	618.0	612.0	13284.0	11851.0	7227.0	4646.0	15416.0	9186.0	595.0	470.0	1372.0	1273.0	548.0	637.0	7296.0	8968.0	15694.0	6620.0	1169.0	396.0	442.0	352.0	433.0	827.0	4476.0	5509.0	9430.0	3641.0	792.0	669.0	958.0	674.0	3846.0	11798.0	10795.0	10530.0	295.0	380.0	1273.0	331.0	793.0	626.0	689.0	618.0	547.0	647.0	1089.0	600.0	1693.0	2521.0	17.0	1635.0	8863.0	223.0	213.0	716.0	758.0	823.0	278.0	644.0	677.0	550.0	1142.0	7931.0	17246.0	4681.0	426.0	786.0	662.0	756.0	691.0	706.0	728.0	13746.0	170.0	221.0	286.0	9368.0	9015.0	26.0	24012.0	26410.0
G000008345	101.0	84.0	83.0	64.0	62.0	95.0	46.0	51.0	100.0	101.0	68.0	27.0	86.0	81.0	59.0	82.0	86.0	114.0	110.0	144.0	52.0	51.0	103.0	10.0	84.0	96.0	32.0	72.0	113.0	93.0	96.0	81.0	44.0	42.0	116.0	56.0	77.0	74.0	33.0	74.0	55.0	25.0	72.0	78.0	71.0	43.0	69.0	103.0	63.0	58.0	35.0	26.0	438.0	44.0	118.0	36.0	76.0	127.0	161.0	114.0	26.0	131.0	135.0	46.0	134.0	22.0	145.0	35.0	83.0	58.0	199.0	90.0	361.0	17.0	76.0	421.0	44.0	102.0	79.0	101.0	104.0	35.0	64.0	70.0
G000011365	28708.0	16712.0	19643.0	22638.0	12371.0	12152.0	18536.0	11180.0	16349.0	10545.0	16294.0	14748.0	19605.0	15519.0	15417.0	16865.0	18462.0	21108.0	19728.0	23353.0	13239.0	9418.0	22636.0	2895.0	21528.0	24549.0	9639.0	19068.0	18932.0	15500.0	22548.0	14861.0	16956.0	10343.0	15030.0	11986.0	15072.0	11586.0	12009.0	12842.0	13096.0	8302.0	20343.0	22800.0	15419.0	12365.0	20620.0	20522.0	12983.0	12552.0	15243.0	9259.0	155321.0	13682.0	19356.0	17459.0	11909.0	24251.0	29973.0	25400.0	4367.0	20897.0	35405.0	23082.0	26836.0	1170.0	5500.0	2224.0	17130.0	15546.0	43742.0	24141.0	29923.0	1138.0	4022.0	5902.0	6049.0	27799.0	27195.0	17616.0	24869.0	641.0	9614.0	7247.0
G000018665	16851.0	9186.0	16882.0	13550.0	925.0	905.0	1171.0	736.0	1274.0	1077.0	49164.0	7436.0	145779.0	106854.0	2055.0	5003.0	1039.0	1530.0	7349.0	3143.0	107411.0	195508.0	581647.0	226009.0	12402.0	10831.0	325.0	1215.0	5658.0	6489.0	21615.0	11353.0	6201.0	8230.0	950.0	2527.0	811.0	735.0	123095.0	10801.0	8322.0	8678.0	16800.0	14442.0	139183.0	65146.0	13264.0	20925.0	25014.0	73081.0	889.0	609.0	37422.0	4171.0	15052.0	9250.0	3403.0	23941.0	76229.0	25853.0	15373.0	21870.0	8960.0	7488.0	7965.0	1851506.0	7998134.0	3236456.0	12324.0	11819.0	7331.0	25659.0	10115.0	3041013.0	9788380.0	6635209.0	5458.0	6600.0	7585.0	1109.0	839.0	3702.0	5744.0	5655.0
G000019725	6459.0	4892.0	4136.0	5011.0	1537.0	1727.0	3333.0	1513.0	2164.0	1385.0	3810.0	2973.0	5478.0	4191.0	3331.0	3302.0	3651.0	2802.0	19083.0	3599.0	4148.0	3950.0	7541.0	1404.0	6211.0	5519.0	576.0	1651.0	2584.0	3091.0	4973.0	3675.0	2977.0	3287.0	1907.0	2105.0	1857.0	1580.0	8030.0	12857.0	3546.0	3323.0	4749.0	5173.0	3901.0	3107.0	5031.0	4554.0	3094.0	3449.0	13728.0	1011.0	6636.0	2261.0	3867.0	3520.0	2919.0	7594.0	7077.0	6146.0	1527.0	5716.0	4641.0	4521.0	4794.0	2935.0	2597.0	2896.0	4745.0	4877.0	50829.0	3403.0	5518.0	1973.0	3668.0	6188.0	2970.0	5142.0	6168.0	1859.0	2335.0	15032932.0	2234.0	1716.0
G000020025	2518.0	1044.0	1940.0	2714.0	3691.0	2995.0	3534.0	2513.0	5877.0	3500.0	2022.0	1687.0	2731.0	2415.0	1579.0	2202.0	7595.0	5811.0	8709.0	5277.0	1504.0	1796.0	1054.0	649.0	1581.0	4383.0	5799.0	6613.0	8294.0	1365.0	2323.0	1967.0	1696.0	1431.0	3308.0	2783.0	3155.0	3567.0	428.0	660.0	1663.0	890.0	2193.0	2145.0	1970.0	1414.0	1476.0	2264.0	1770.0	919.0	4812.0	3258.0	0.0	1008.0	5246.0	653.0	342.0	1588.0	3026.0	3700.0	673.0	1326.0	1434.0	1225.0	1808.0	242.0	1195.0	584.0	1844.0	3242.0	1504.0	1550.0	1262.0	224.0	120.0	743.0	417.0	421.0	804.0	6973.0	7603.0	9.0	7587.0	7586.0
G000020045	13549.0	10459.0	18590.0	14290.0	16360.0	15680.0	30360.0	19155.0	17008.0	11781.0	8393.0	7946.0	9975.0	12082.0	3503.0	3920.0	32223.0	48246.0	31258.0	29602.0	9615.0	11715.0	11402.0	1696.0	11765.0	12626.0	3687.0	7770.0	14714.0	22510.0	14730.0	12938.0	7416.0	3996.0	47537.0	30965.0	12305.0	12132.0	14546.0	16462.0	11446.0	13126.0	13010.0	16390.0	8377.0	6682.0	17092.0	15211.0	2488.0	3196.0	31619.0	20418.0	1479.0	52058.0	47714.0	2334.0	2376.0	5283.0	4722.0	14896.0	4003.0	13367.0	10076.0	10705.0	13854.0	404.0	1560.0	723.0	14565.0	11951.0	13608.0	15677.0	9776.0	386.0	2596.0	1769.0	1145.0	3083.0	3192.0	18229.0	14845.0	102.0	37612.0	34065.0
G000023745	6429.0	4217.0	3445.0	1315.0	56.0	73.0	76.0	91.0	77.0	48.0	2895.0	1186.0	2855.0	1197.0	2720.0	2819.0	44.0	175.0	161.0	199.0	3089.0	1970.0	1544.0	295.0	4546.0	2441.0	16.0	29.0	67.0	40.0	4359.0	2664.0	2108.0	2969.0	199.0	184.0	50.0	66.0	278.0	327.0	408.0	462.0	3965.0	4289.0	1616.0	1712.0	4034.0	6984.0	1729.0	7557.0	127.0	70.0	441.0	37.0	138.0	1564.0	4904.0	4011.0	1255.0	4765.0	2291.0	2333.0	635.0	1324.0	1046.0	28.0	156.0	51.0	1654.0	1590.0	798.0	514.0	442.0	30.0	298.0	330.0	82.0	223.0	167.0	80.0	76.0	6.0	134.0	96.0
G000024365	5494.0	3121.0	3940.0	3032.0	4881.0	4818.0	6173.0	4149.0	6282.0	4343.0	3113.0	2272.0	5708.0	5059.0	6509.0	5918.0	8290.0	11713.0	7651.0	10227.0	6080.0	5440.0	4316.0	1327.0	2886.0	2220.0	3256.0	6788.0	7207.0	8278.0	3407.0	2853.0	4481.0	4569.0	5662.0	7199.0	6224.0	4674.0	5261.0	4524.0	5957.0	3798.0	3406.0	3512.0	6071.0	3743.0	3098.0	3680.0	3462.0	2819.0	9181.0	5800.0	106.0	6226.0	10592.0	8129.0	5107.0	12636.0	14688.0	2798.0	1188.0	3492.0	6535.0	3475.0	4770.0	1121.0	3393.0	1727.0	1596.0	2605.0	4943.0	5006.0	6587.0	1531.0	2324.0	3734.0	2582.0	8134.0	8756.0	8540.0	10489.0	39.0	6130.0	5328.0
